Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2025-06-09,HKE,622,HKG,HND,1,213,3,,false,,2025-06-09T17:35,2025-06-09T17:23,2025-06-09T17:45,2025-06-09T17:39,2025-06-09T22:45,2025-06-09T22:32,2025-06-09T22:55,2025-06-09T22:37,Airbus A321neo,BKKD,,,,,,,b1f0a388-8ec9-4b0b-b63d-fbf4d0243ac5,665a54fa-0b6e-4086-abe4-2a6b2dd5c1e5,7da61aa8-3d56-411b-8be5-50a198e86c60,deceac13-5547-4a5a-9877-06e35ae80304,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2025-06-18,CSZ,664,KIX,SZX,1,38,T3,,false,,2025-06-18T17:10,2025-06-18T18:34,2025-06-18T17:20,2025-06-18T18:50,2025-06-18T20:15,2025-06-18T21:39,2025-06-18T20:25,2025-06-18T21:42,Boeing 737 MAX 8,B20ER,,,,,,,f580cd5d-f87e-406d-bc8d-d0d70c9f48c3,882ae493-92fd-4736-99aa-2a349ce76c91,05f38441-6e21-4f4f-8b90-f6ff8be5f037,fe67fc1f-8483-4796-891a-81a54515c216,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2025-06-21,CHH,7706,SZX,PEK,T3,563,T2,,false,,2025-06-21T13:10,2025-06-21T13:16,2025-06-21T13:20,2025-06-21T13:50,2025-06-21T16:05,2025-06-21T16:29,2025-06-21T16:15,2025-06-21T16:34,Boeing 787-9,B1341,,,,,,,f64d654c-c1d3-47e5-a7cf-8ddc5db85f74,0f72443f-2b6b-46d8-92f7-94f57e6c4bea,fe67fc1f-8483-4796-891a-81a54515c216,fa495023-95f7-46c7-abf5-69a5f2120d69,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2025-08-14,DAL,7922,HKG,ICN,T1,511,T2,266,false,,2025-08-14T12:20,2025-08-14T15:32,2025-08-14T12:30,2025-08-14T15:51,2025-08-14T16:50,2025-08-14T20:02,2025-08-14T17:00,2025-08-14T20:10,Boeing 777-300 ER,HL8042,G6DL2D,36F,,,,,159677d0-a2e6-4604-8d16-44b36e4847fd,a8765091-d043-44b1-936c-d217bb519e56,7da61aa8-3d56-411b-8be5-50a198e86c60,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,,78eac566-1ad0-4ded-9979-9510dfde05f2
2025-08-15,DAL,170,ICN,MSP,2,252,1,G8,false,,2025-08-15T18:40,2025-08-15T19:56,2025-08-15T20:11,2025-08-15T20:24,2025-08-15T18:09,2025-08-15T18:13,2025-08-15T17:20,2025-08-15T18:23,Airbus A350-900,N501DN,,,,,,,271e3511-39f1-4b5a-b2d8-52da8206a5b4,a8765091-d043-44b1-936c-d217bb519e56,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,e6471588-a4ac-43ed-85de-adb08f1c3410,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2025-08-15,DAL,3541,MSP,IAD,1,B4,Main,B75,false,,2025-08-15T20:08,2025-08-15T20:37,2025-08-15T20:18,2025-08-15T20:53,2025-08-15T23:28,2025-08-16T00:22,2025-08-15T23:38,2025-08-16T00:26,Embraer 175,N315SY,,,,,,,3f1e4f93-f219-4915-8c17-3eaf67d3d6e3,a8765091-d043-44b1-936c-d217bb519e56,e6471588-a4ac-43ed-85de-adb08f1c3410,519696f5-bda6-457c-ae4c-dd1cb07e20de,,36728d5b-40cd-46ec-93ba-8822376b565d
2025-09-25,AAL,1327,PHL,ORD,C,C22,3,L11,false,,2025-09-25T21:15,2025-09-25T21:09,2025-09-25T21:25,2025-09-25T22:08,2025-09-25T22:29,2025-09-25T22:57,2025-09-25T22:39,2025-09-25T23:03,Boeing 737-800,N964NN,,,,,,,001e38c4-4011-4a99-90b7-8d3268088a7a,ae1fc6a5-c42d-4e70-ba63-d641d248d270,a0d1ae30-2637-4b7c-87bd-91e31dc37468,a5eff314-18e7-4c87-bd38-0131882f1b8d,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-09-28,AAL,3153,ORD,PHL,3,K18,A,9,false,,2025-09-28T21:37,2025-09-28T21:42,2025-09-28T21:47,2025-09-28T22:12,2025-09-29T00:35,2025-09-29T00:46,2025-09-29T00:45,2025-09-29T00:52,Boeing 737-800,N819NN,JKFASG,,,,,,5d464179-5047-491c-8dd4-8b0865bc6cee,ae1fc6a5-c42d-4e70-ba63-d641d248d270,a5eff314-18e7-4c87-bd38-0131882f1b8d,a0d1ae30-2637-4b7c-87bd-91e31dc37468,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-12-19,CPA,831,JFK,HKG,8,8,1,66,false,,2025-12-19T13:40,2025-12-19T14:51,2025-12-19T13:50,2025-12-19T15:13,2025-12-20T18:55,2025-12-20T19:38,2025-12-20T19:05,2025-12-20T19:42,Boeing 777-300 ER,BKQV,,,,,,,85064bbe-d1b8-4f9e-9ea9-072af3f531a2,8508d82c-f03a-4c99-88d8-46ede5aceb6d,fc332185-4dde-4791-b449-0de5e83e47b9,7da61aa8-3d56-411b-8be5-50a198e86c60,,78eac566-1ad0-4ded-9979-9510dfde05f2
2025-12-22,CSZ,9241,SZX,URC,T3,355,2,,false,,2025-12-22T08:50,2025-12-22T08:45,2025-12-22T09:00,2025-12-22T09:09,2025-12-22T14:30,2025-12-22T14:27,2025-12-22T14:40,2025-12-22T14:39,Airbus A320neo,B32NA,,,,,,,0554ea1e-a6e3-41bc-b1e9-c91b9f26353d,882ae493-92fd-4736-99aa-2a349ce76c91,fe67fc1f-8483-4796-891a-81a54515c216,69533e3e-9b8d-4609-b30a-6957ba1e7a18,,fc3bd268-833c-40f4-a74c-9512dabcbe08
